代號,交易日期,買入股數,買入價格,賣出股數,賣出價格,股息
006208,2023/7/20,30.0,74.82,0.0,0.0,0
006208,2023/7/25,30.0,74.5,0.0,0.0,0
006208,2023/8/7,28.0,74.17,0.0,0.0,0
006208,2023/8/15,29.0,72.17,0.0,0.0,0
006208,2023/8/25,29.0,72.33,0.0,0.0,0
006208,2023/9/5,28.0,72.99,0.0,0.0,0
006208,2023/9/15,29.0,73.39,0.0,0.0,0
006208,2023/9/25,30.0,71.34,0.0,0.0,0
006208,2023/10/5,33.0,71.26,0.0,0.0,0
006208,2023/10/16,32.0,72.85,0.0,0.0,0
006208,2023/10/25,33.0,72.0,0.0,0.0,0
006208,2023/11/6,32.0,73.24,0.0,0.0,0
006208,2023/11/15,31.0,75.29,0.0,0.0,0
006208,2023/11/16,0.0,0.0,0.0,0.0,329
006208,2023/11/27,32.0,74.69,0.0,0.0,0
006208,2023/12/5,32.0,74.3,0.0,0.0,0
006208,2023/12/15,31.0,76.23,0.0,0.0,0
006208,2023/12/27,31.0,76.93,0.0,0.0,0
00687B,2023/11/15,33.0,30.06,0.0,0.0,0
00687B,2023/11/27,33.0,29.56,0.0,0.0,0
00687B,2023/12/5,32.0,30.55,0.0,0.0,0
00687B,2023/12/15,31.0,32.21,0.0,0.0,0
00687B,2023/12/18,0.0,0.0,0.0,0.0,35
00687B,2023/12/27,34.0,31.76,0.0,0.0,0
006208,2024/1/5,31.0,75.47,0.0,0.0,0
006208,2024/1/15,39.0,76.04,0.0,0.0,0
006208,2024/1/25,37.0,78.97,0.0,0.0,0
006208,2024/2/5,37.0,79.36,0.0,0.0,0
006208,2024/2/15,36.0,82.91,0.0,0.0,0
006208,2024/2/26,35.0,83.96,0.0,0.0,0
006208,2024/3/5,34.0,86.59,0.0,0.0,0
006208,2024/3/15,33.0,90.01,0.0,0.0,0
006208,2024/3/25,32.0,92.17,0.0,0.0,0
006208,2024/4/8,33.0,93.23,0.0,0.0,0
006208,2024/4/16,33.0,91.38,0.0,0.0,0
006208,2024/4/26,33.0,91.53,0.0,0.0,0
006208,2024/5/6,33.0,93.46,0.0,0.0,0
006208,2024/5/16,31.0,98.54,0.0,0.0,0
006208,2024/5/27,30.0,101.23,0.0,0.0,0
006208,2024/6/6,30.0,101.94,0.0,0.0,0
006208,2024/6/17,29.0,105.28,0.0,0.0,0
006208,2024/6/26,28.0,108.57,0.0,0.0,0
00687B,2024/1/5,38.0,31.26,0.0,0.0,0
00687B,2024/1/15,38.0,31.32,0.0,0.0,0
00687B,2024/1/25,39.0,30.32,0.0,0.0,0
00687B,2024/2/5,38.0,31.22,0.0,0.0,0
00687B,2024/2/15,39.0,30.55,0.0,0.0,0
