交易日期,買/賣/股利,代號,股票,交易類別,買入股數,買入價格,賣出股數,賣出價格,現價,手續費,交易稅,成交價金,股息,買入支出,賣出收入,決策原因,手續費折數,,,,,,,,
2023/7/20,買,006208,富邦台50,ETF,30,74.82,,,102.00,1,0,"2,245",,"2,246",-,,0.28,,,,,,,,
2023/7/25,買,006208,富邦台50,ETF,30,74.50,,,102.00,1,0,"2,235",,"2,236",-,,0.28,,,,,,,,
2023/8/7,買,006208,富邦台50,ETF,28,74.17,,,102.00,1,0,"2,077",,"2,078",-,,0.28,,,,,,,,
2023/8/15,買,006208,富邦台50,ETF,29,72.17,,,102.00,1,0,"2,093",,"2,094",-,,0.28,,,,,,,,
2023/8/25,買,006208,富邦台50,ETF,29,72.33,,,102.00,1,0,"2,098",,"2,099",-,,0.28,,,,,,,,
2023/9/5,買,006208,富邦台50,ETF,28,72.99,,,102.00,1,0,"2,044",,"2,045",-,,0.28,,,,,,,,
2023/9/15,買,006208,富邦台50,ETF,29,73.39,,,102.00,1,0,"2,128",,"2,129",-,,0.28,,,,,,,,
2023/9/25,買,006208,富邦台50,ETF,30,71.34,,,102.00,1,0,"2,140",,"2,141",-,,0.28,,,,,,,,
2023/10/5,買,006208,富邦台50,ETF,33,71.26,,,102.00,1,0,"2,352",,"2,353",-,,0.28,,,,,,,,
2023/10/16,買,006208,富邦台50,ETF,32,72.85,,,102.00,1,0,"2,331",,"2,332",-,,0.28,,,,,,,,
2023/10/25,買,006208,富邦台50,ETF,33,72,,,102.00,1,0,"2,376",,"2,377",-,,0.28,,,,,,,,
2023/11/6,買,006208,富邦台50,ETF,32,73.24,,,102.00,1,0,"2,344",,"2,345",-,,0.28,,,,,,,,
2023/11/15,買,006208,富邦台50,ETF,31,75.29,,,102.00,1,0,"2,334",,"2,335",-,,0.28,,,,,,,,
2023/11/16,股利,006208,富邦台50,ETF,,,,,102.00,0,0, ,329,-,-,,0.28,,,,,,,,
2023/11/27,買,006208,富邦台50,ETF,32,74.69,,,102.00,1,0,"2,390",,"2,391",-,,0.28,,,,,,,,
2023/12/5,買,006208,富邦台50,ETF,32,74.30,,,102.00,1,0,"2,378",,"2,379",-,,0.28,,,,,,,,
2023/12/15,買,006208,富邦台50,ETF,31,76.23,,,102.00,1,0,"2,363",,"2,364",-,,0.28,,,,,,,,
2023/12/27,買,006208,富邦台50,ETF,31,76.93,,,102.00,1,0,"2,385",,"2,386",-,,0.28,,,,,,,,
2023/11/15,買,00687B,國泰20年美債,債ETF,33,30.06,,,28.58,1,0,992,,993,-,,0.28,,,,,,,,
2023/11/27,買,00687B,國泰20年美債,債ETF,33,29.56,,,28.58,1,0,975,,976,-,,0.28,,,,,,,,
2023/12/5,買,00687B,國泰20年美債,債ETF,32,30.55,,,28.58,1,0,978,,979,-,,0.28,,,,,,,,
