,VOO,006208,00687B,00919,BTC,WBETH,BNB,BCH
2021-04-23,0,0,0,0,502,0,0,0
2021-04-24,0,0,0,0,492,0,0,0
2021-04-25,0,0,0,0,482,0,0,0
2021-04-26,0,0,0,0,1529,0,0,0
2021-04-27,0,0,0,0,1546,0,0,0
2021-04-28,0,0,0,0,1545,0,0,0
2021-04-29,0,0,0,0,1503,0,0,0
2021-04-30,0,0,0,0,1620,0,0,0
2021-05-01,0,0,0,0,1622,0,0,0
2021-05-02,0,0,0,0,1588,0,0,0
2021-05-03,0,0,0,0,1609,0,0,0
2021-05-04,0,0,0,0,1504,0,0,0
2021-05-05,0,0,0,0,1618,0,0,0
2021-05-06,0,0,0,0,1588,0,494,0
2021-05-07,0,0,0,0,1619,0,489,0
2021-05-08,0,0,0,0,1660,0,1011,0
2021-05-09,0,0,0,0,1644,0,1536,0
2021-05-10,0,0,0,0,2496,0,2400,0
2021-05-11,0,0,0,0,2532,0,2554,0
2021-05-12,0,0,0,0,2209,0,2250,0
2021-05-13,0,0,0,0,2243,0,2194,0
2021-05-14,0,0,0,0,2244,0,2308,0
2021-05-15,0,0,0,0,2103,0,2155,0
2021-05-16,0,0,0,0,2090,0,2154,0
2021-05-17,0,0,0,0,1960,0,1961,0
2021-05-18,0,0,0,0,2408,0,1953,0
2021-05-19,0,0,0,0,2070,0,1299,0
2021-05-20,0,0,0,0,2764,0,1504,0
2021-05-21,0,0,0,0,2534,0,1249,0
2021-05-22,0,0,0,0,2549,0,1147,0
2021-05-23,0,0,0,0,2362,0,1007,0
2021-05-24,0,0,0,0,2629,0,1322,0
2021-05-25,0,0,0,0,2614,0,1321,0
2021-05-26,0,0,0,0,2656,0,1448,0
2021-05-27,0,0,0,0,2584,0,1394,0
2021-05-28,0,0,0,0,2410,0,1256,0
2021-05-29,0,0,0,0,2337,0,1161,0
2021-05-30,0,0,0,0,2409,0,1240,0
2021-05-31,0,0,0,0,2506,0,1341,0
2021-06-01,0,0,0,0,2453,0,1368,0
2021-06-02,0,0,0,0,2518,0,1516,0
2021-06-03,0,0,0,0,2624,0,1614,0
2021-06-04,0,0,0,0,2477,0,1481,0
2021-06-05,0,0,0,0,2386,0,1478,0
2021-06-06,0,0,0,0,2407,0,1490,0
2021-06-07,0,0,0,0,2246,0,1348,0
2021-06-08,0,0,0,0,2247,0,1340,0
2021-06-09,0,0,0,0,2503,0,1420,0
2021-06-10,0,0,0,0,2478,0,1340,0
2021-06-11,0,0,0,0,2500,0,1306,0
2021-06-12,0,0,0,0,2381,0,1298,0
2021-06-13,0,0,0,0,2618,0,1384,0
2021-06-14,0,0,0,0,2701,0,1397,0
2021-06-15,0,0,0,0,2714,0,1414,0
2021-06-16,0,0,0,0,2568,0,1310,0
2021-06-17,0,0,0,0,2559,0,1338,0
2021-06-18,0,0,0,0,2408,0,1277,0
